instrumento,mercado,periodo,tipo_calificacion,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,monto,es_oficial
Bono Corporativo XYZ-0011,MILA,2024-04,Mixto,0.0604,0.0807,0.0366,0.0731,0.0643,0.0051,0.0204,0.1099,0.0417,0.0764,0.0526,0.3288,178762,false
ETF XYZ-0012,BVC,2024-05,Renta Fija,0.0009,0.0823,0.0106,0.0571,0.0285,0.0099,0.0621,0.0632,0.0190,0.0052,0.1050,0.5062,126060,true
Fondo Mutuo XYZ-0013,COLCAP,2024-06,Renta Variable,0.0252,0.0638,0.0308,0.0285,0.0433,0.0125,0.0950,0.1077,0.0272,0.1430,0.1074,0.2656,42306,false
Bono Gobierno XYZ-0014,BVLIMA,2024-07,Derivados,0.0772,0.0745,0.0788,0.0159,0.0018,0.0757,0.0367,0.0117,0.0004,0.0419,0.1310,0.4044,190621,false
Acción Preferente XYZ-0015,MILA,2024-08,Estructurado,0.0761,0.0668,0.0427,0.0445,0.0491,0.0185,0.0830,0.1043,0.1071,0.0894,0.0457,0.2228,101558,true
Warrant XYZ-0016,BVC,2024-09,Dividendos,0.0530,0.0532,0.0103,0.0714,0.0414,0.1008,0.0667,0.0793,0.1151,0.0704,0.1303,0.1581,112625,false
ADR XYZ-0017,COLCAP,2024-10,Intereses,0.0703,0.0052,0.0005,0.0258,0.0458,0.0983,0.1037,0.0770,0.1095,0.0215,0.0412,0.3512,170636,false
REIT XYZ-0018,BVLIMA,2024-11,Capital,0.0691,0.0427,0.0252,0.0603,0.0678,0.0942,0.0008,0.0313,0.0737,0.1416,0.1330,0.2103,88650,true
Fondo Indexado XYZ-0019,MILA,2024-12,Mixto,0.0432,0.0396,0.0706,0.0731,0.0552,0.0258,0.0656,0.0256,0.1184,0.1431,0.0105,0.2793,35632,false
Acción DEF-0020,BVC,2024-Q1,Renta Fija,0.0618,0.0119,0.0411,0.0813,0.0115,0.0434,0.0567,0.0505,0.0897,0.1446,0.0103,0.3472,123068,false
Bono Corporativo DEF-0021,COLCAP,2024-Q2,Renta Variable,0.0621,0.0754,0.0006,0.0125,0.0377,0.0496,0.0732,0.0599,0.1325,0.0588,0.0192,0.3685,104192,true
ETF DEF-0022,BVLIMA,2024-Q3,Derivados,0.0490,0.0269,0.0677,0.0447,0.0498,0.0967,0.0194,0.0783,0.0835,0.1246,0.1068,0.2026,176952,false
Fondo Mutuo DEF-0023,MILA,2024-Q4,Estructurado,0.0464,0.0367,0.0259,0.0670,0.0081,0.0738,0.0348,0.0878,0.0723,0.1317,0.0652,0.3003,70978,false
Bono Gobierno DEF-0024,BVC,2023-Q1,Dividendos,0.0458,0.0065,0.0158,0.0372,0.0167,0.1087,0.0814,0.0234,0.0064,0.1210,0.1276,0.3595,161562,true
Acción Preferente DEF-0025,COLCAP,2023-Q2,Intereses,0.0329,0.0029,0.0077,0.0934,0.0134,0.0243,0.1001,0.0543,0.0942,0.0553,0.0299,0.4416,164559,false
Warrant DEF-0026,BVLIMA,2023-Q3,Capital,0.0666,0.0493,0.0327,0.0574,0.0713,0.0653,0.0228,0.1117,0.0863,0.1155,0.0423,0.2288,16626,false
ADR DEF-0027,MILA,2023-Q4,Mixto,0.0711,0.0238,0.0068,0.0843,0.0933,0.0087,0.0012,0.1281,0.1291,0.0049,0.0322,0.3665,46194,true
REIT DEF-0028,BVC,2024-01,Renta Fija,0.0126,0.0431,0.0742,0.0216,0.0729,0.0387,0.0989,0.0409,0.1179,0.0912,0.1304,0.2076,61642,false
Fondo Indexado DEF-0029,COLCAP,2024-02,Renta Variable,0.0381,0.0552,0.0706,0.0817,0.0293,0.0707,0.0785,0.0709,0.0819,0.0860,0.0446,0.2425,21697,false
Acción GHI-0030,BVLIMA,2024-03,Derivados,0.0783,0.0492,0.0060,0.0590,0.0909,0.0339,0.0240,0.0680,0.0288,0.1039,0.1406,0.2674,170469,true
Bono Corporativo GHI-0031,MILA,2024-04,Estructurado,0.0470,0.0158,0.0628,0.0764,0.0887,0.0347,0.0253,0.0973,0.0820,0.1396,0.0020,0.2784,132207,false
ETF GHI-0032,BVC,2024-05,Dividendos,0.0233,0.0692,0.0695,0.0695,0.0716,0.0690,0.0720,0.0851,0.1025,0.0922,0.0863,0.1398,194608,false
Fondo Mutuo GHI-0033,COLCAP,2024-06,Intereses,0.0778,0.0466,0.0416,0.0518,0.0889,0.0041,0.0601,0.0112,0.1094,0.0447,0.0375,0.3763,89459,true
Bono Gobierno GHI-0034,BVLIMA,2024-07,Capital,0.0348,0.0104,0.0241,0.0007,0.0296,0.0936,0.0879,0.1276,0.0362,0.1130,0.0971,0.2950,90793,false
Acción Preferente GHI-0035,MILA,2024-08,Mixto,0.0390,0.0734,0.0825,0.0120,0.0232,0.0277,0.0726,0.0617,0.1036,0.0262,0.1018,0.3263,145095,false
Warrant GHI-0036,BVC,2024-09,Renta Fija,0.0635,0.0781,0.0109,0.0693,0.0256,0.0622,0.1054,0.0616,0.0460,0.0847,0.1498,0.1929,67030,true
ADR GHI-0037,COLCAP,2024-10,Renta Variable,0.0670,0.0534,0.0291,0.0652,0.0843,0.0798,0.0041,0.0193,0.0790,0.1123,0.0597,0.2968,166806,false
REIT GHI-0038,BVLIMA,2024-11,Derivados,0.0001,0.0325,0.0750,0.0172,0.0676,0.0590,0.0473,0.0899,0.0308,0.0673,0.1326,0.3307,161184,false
Fondo Indexado GHI-0039,MILA,2024-12,Estructurado,0.0184,0.0525,0.0401,0.0274,0.0879,0.0531,0.0479,0.0883,0.0017,0.1108,0.1271,0.2948,153787,true
Acción JKL-0040,BVC,2024-Q1,Dividendos,0.0360,0.0299,0.0817,0.0787,0.0861,0.0450,0.0247,0.1051,0.0793,0.0074,0.0820,0.2941,92165,false
Bono Corporativo JKL-0041,COLCAP,2024-Q2,Intereses,0.0475,0.0527,0.0020,0.0765,0.0133,0.0399,0.0276,0.1360,0.1327,0.1370,0.0501,0.2347,75360,false
ETF JKL-0042,BVLIMA,2024-Q3,Capital,0.0697,0.0471,0.0828,0.0710,0.0234,0.0779,0.0733,0.0937,0.0316,0.0264,0.1475,0.2056,163660,true
Fondo Mutuo JKL-0043,MILA,2024-Q4,Mixto,0.0491,0.0230,0.0293,0.0487,0.0747,0.1004,0.0538,0.0966,0.0272,0.1066,0.1232,0.2174,186814,false
Bono Gobierno JKL-0044,BVC,2023-Q1,Renta Fija,0.0407,0.0129,0.0186,0.0649,0.0190,0.0713,0.0011,0.0849,0.0107,0.0373,0.0810,0.5076,51698,false
Acción Preferente JKL-0045,COLCAP,2023-Q2,Renta Variable,0.0592,0.0306,0.0722,0.0745,0.0348,0.0392,0.0933,0.0129,0.0949,0.0105,0.0650,0.3629,170293,true
Warrant JKL-0046,BVLIMA,2023-Q3,Derivados,0.0250,0.0069,0.0419,0.0697,0.0766,0.1026,0.0283,0.0723,0.0912,0.0792,0.0474,0.3089,144405,false
ADR JKL-0047,MILA,2023-Q4,Estructurado,0.0788,0.0268,0.0522,0.0042,0.0893,0.0062,0.0006,0.0978,0.0808,0.0155,0.0230,0.4748,136853,false
REIT JKL-0048,BVC,2024-01,Dividendos,0.0255,0.0040,0.0363,0.0058,0.0983,0.0870,0.0851,0.0839,0.0306,0.0071,0.0569,0.4295,65337,true
Fondo Indexado JKL-0049,COLCAP,2024-02,Intereses,0.0086,0.0407,0.0408,0.0712,0.0949,0.0503,0.1047,0.0501,0.0265,0.1465,0.0877,0.2280,182420,false
Acción MNO-0050,BVLIMA,2024-03,Capital,0.0014,0.0108,0.0226,0.0848,0.0456,0.0916,0.0133,0.0098,0.0943,0.0668,0.0523,0.4567,155471,false
Bono Corporativo MNO-0051,MILA,2024-04,Mixto,0.0126,0.0460,0.0491,0.0627,0.0537,0.0433,0.1071,0.0460,0.0104,0.0665,0.1281,0.3245,187607,true
ETF MNO-0052,BVC,2024-05,Renta Fija,0.0747,0.0359,0.0359,0.0504,0.0000,0.0391,0.0259,0.0709,0.1182,0.0550,0.0140,0.4300,40037,false
Fondo Mutuo MNO-0053,COLCAP,2024-06,Renta Variable,0.0460,0.0722,0.0567,0.0300,0.0813,0.0424,0.0240,0.0408,0.0123,0.0787,0.1115,0.3541,190316,false
Bono Gobierno MNO-0054,BVLIMA,2024-07,Derivados,0.0137,0.0640,0.0768,0.0527,0.0647,0.0727,0.0081,0.0174,0.0659,0.0822,0.0354,0.3964,132585,true
Acción Preferente MNO-0055,MILA,2024-08,Estructurado,0.0151,0.0777,0.0573,0.0359,0.0473,0.0390,0.0062,0.0172,0.1024,0.0186,0.1282,0.4051,125143,false
Warrant MNO-0056,BVC,2024-09,Dividendos,0.0425,0.0024,0.0192,0.0230,0.0894,0.0922,0.0656,0.0622,0.0241,0.1152,0.0651,0.3491,67851,false
ADR MNO-0057,COLCAP,2024-10,Intereses,0.0776,0.0029,0.0820,0.0660,0.0529,0.0486,0.0432,0.0534,0.0334,0.1475,0.0227,0.3198,81737,true
REIT MNO-0058,BVLIMA,2024-11,Capital,0.0104,0.0442,0.0557,0.0410,0.0502,0.0284,0.0686,0.0851,0.1160,0.1499,0.0577,0.2428,191436,false
Fondo Indexado MNO-0059,MILA,2024-12,Mixto,0.0276,0.0402,0.0452,0.0389,0.0680,0.0606,0.0477,0.1132,0.0520,0.1182,0.0979,0.2405,89446,false
Acción PQR-0060,BVC,2024-Q1,Renta Fija,0.0402,0.0692,0.0279,0.0024,0.0411,0.1057,0.0038,0.0611,0.1416,0.0025,0.0560,0.3985,187064,true
Bono Corporativo PQR-0061,COLCAP,2024-Q2,Renta Variable,0.0369,0.0419,0.0632,0.0747,0.0427,0.0326,0.0667,0.0020,0.1312,0.0453,0.0266,0.3862,129089,false
ETF PQR-0062,BVLIMA,2024-Q3,Derivados,0.0494,0.0484,0.0295,0.0818,0.0605,0.0130,0.0045,0.1068,0.0760,0.1046,0.0816,0.2939,106895,false
Fondo Mutuo PQR-0063,MILA,2024-Q4,Estructurado,0.0587,0.0527,0.0713,0.0700,0.0703,0.0606,0.0611,0.0782,0.0442,0.0206,0.0161,0.3462,198196,true
Bono Gobierno PQR-0064,BVC,2023-Q1,Dividendos,0.0186,0.0074,0.0451,0.0961,0.0386,0.0226,0.0413,0.0891,0.1390,0.1426,0.0255,0.2841,17216,false
Acción Preferente PQR-0065,COLCAP,2023-Q2,Intereses,0.0103,0.0772,0.0227,0.0308,0.0745,0.0696,0.0118,0.0713,0.0870,0.0640,0.0683,0.3625,87760,false
Warrant PQR-0066,BVLIMA,2023-Q3,Capital,0.0437,0.0779,0.0558,0.0498,0.0041,0.0276,0.1109,0.0913,0.0377,0.0646,0.0643,0.3223,47652,true
ADR PQR-0067,MILA,2023-Q4,Mixto,0.0509,0.0728,0.0509,0.0667,0.0416,0.0331,0.0012,0.0394,0.1187,0.0801,0.1204,0.2742,50740,false
REIT PQR-0068,BVC,2024-01,Renta Fija,0.0056,0.0117,0.0336,0.0871,0.0519,0.0215,0.0300,0.0326,0.0286,0.0228,0.1175,0.5071,174456,false
Fondo Indexado PQR-0069,COLCAP,2024-02,Renta Variable,0.0560,0.0160,0.0348,0.0738,0.0754,0.0327,0.0204,0.0335,0.0360,0.1237,0.0510,0.3967,171076,true
Acción STU-0070,BVLIMA,2024-03,Derivados,0.0630,0.0441,0.0680,0.0293,0.0283,0.0494,0.0935,0.0286,0.0870,0.1034,0.0078,0.3476,157891,false
Bono Corporativo STU-0071,MILA,2024-04,Estructurado,0.0421,0.0229,0.0599,0.0770,0.0151,0.0089,0.0357,0.0003,0.0755,0.0920,0.0756,0.4450,191274,false
ETF STU-0072,BVC,2024-05,Dividendos,0.0726,0.0246,0.0727,0.0258,0.0106,0.0131,0.0553,0.1105,0.0093,0.0897,0.1297,0.3361,53749,true
Fondo Mutuo STU-0073,COLCAP,2024-06,Intereses,0.0148,0.0355,0.0547,0.0021,0.0900,0.0389,0.0372,0.0094,0.0446,0.0659,0.1391,0.4178,190528,false
Bono Gobierno STU-0074,BVLIMA,2024-07,Capital,0.0484,0.0544,0.0147,0.0916,0.0823,0.0505,0.0004,0.0777,0.0422,0.0578,0.0385,0.3915,34439,false
Acción Preferente STU-0075,MILA,2024-08,Mixto,0.0156,0.0219,0.0163,0.0539,0.0552,0.0448,0.0644,0.0551,0.1250,0.0127,0.1334,0.3517,123264,true
Warrant STU-0076,BVC,2024-09,Renta Fija,0.0440,0.0154,0.0057,0.0656,0.0020,0.0151,0.0001,0.0099,0.0670,0.1378,0.0719,0.5155,31666,false
ADR STU-0077,COLCAP,2024-10,Renta Variable,0.0306,0.0150,0.0856,0.0187,0.0739,0.0655,0.0074,0.0148,0.0896,0.0288,0.1344,0.3857,56263,false
REIT STU-0078,BVLIMA,2024-11,Derivados,0.0707,0.0058,0.0046,0.0535,0.0284,0.0216,0.0920,0.0998,0.0067,0.0709,0.0129,0.4831,88892,true
Fondo Indexado STU-0079,MILA,2024-12,Estructurado,0.0022,0.0791,0.0845,0.0002,0.0023,0.0823,0.1070,0.0287,0.0693,0.0016,0.1499,0.3429,151482,false
Acción VWX-0080,BVC,2024-Q1,Dividendos,0.0324,0.0310,0.0690,0.0893,0.0730,0.0025,0.0861,0.1092,0.1048,0.0798,0.0372,0.2357,118906,false
Bono Corporativo VWX-0081,COLCAP,2024-Q2,Intereses,0.0164,0.0364,0.0396,0.0626,0.0519,0.0590,0.0796,0.0345,0.1033,0.1408,0.0281,0.2978,151835,true
ETF VWX-0082,BVLIMA,2024-Q3,Capital,0.0418,0.0358,0.0825,0.0733,0.0260,0.0472,0.0938,0.0651,0.0282,0.0446,0.1003,0.3114,60395,false
Fondo Mutuo VWX-0083,MILA,2024-Q4,Mixto,0.0106,0.0112,0.0367,0.0461,0.0708,0.1024,0.0899,0.0405,0.0371,0.1432,0.0968,0.2647,123995,false
Bono Gobierno VWX-0084,BVC,2023-Q1,Renta Fija,0.0376,0.0238,0.0629,0.0520,0.0801,0.0282,0.0763,0.0900,0.0512,0.0744,0.0121,0.3614,150207,true
Acción Preferente VWX-0085,COLCAP,2023-Q2,Renta Variable,0.0279,0.0033,0.0154,0.0864,0.0411,0.0537,0.0453,0.0098,0.0294,0.1107,0.0539,0.4731,90954,false
Warrant VWX-0086,BVLIMA,2023-Q3,Derivados,0.0010,0.0308,0.0650,0.0138,0.0233,0.0067,0.1312,0.0760,0.0702,0.0018,0.0683,0.4619,142566,false
ADR VWX-0087,MILA,2023-Q4,Estructurado,0.0597,0.0153,0.0215,0.0948,0.0255,0.0245,0.0212,0.0339,0.0995,0.1106,0.1041,0.3394,91918,true
REIT VWX-0088,BVC,2024-01,Dividendos,0.0030,0.0687,0.0058,0.0922,0.0777,0.0123,0.0929,0.0828,0.0752,0.1044,0.0109,0.3241,10636,false
Fondo Indexado VWX-0089,COLCAP,2024-02,Intereses,0.0330,0.0355,0.0879,0.0153,0.0921,0.0471,0.0313,0.0372,0.1334,0.0458,0.0895,0.3019,192425,false
Acción YZA-0090,BVLIMA,2024-03,Capital,0.0369,0.0142,0.0711,0.0761,0.0748,0.0120,0.0821,0.0616,0.1172,0.0070,0.0246,0.3724,78937,true
Bono Corporativo YZA-0091,MILA,2024-04,Mixto,0.0743,0.0358,0.0678,0.0375,0.0829,0.0607,0.0923,0.0303,0.1119,0.0889,0.0842,0.1834,153078,false
ETF YZA-0092,BVC,2024-05,Renta Fija,0.0082,0.0550,0.0329,0.0085,0.0728,0.0222,0.1030,0.0426,0.0998,0.0754,0.0765,0.3531,82007,false
Fondo Mutuo YZA-0093,COLCAP,2024-06,Renta Variable,0.0506,0.0024,0.0861,0.0560,0.0879,0.0330,0.0827,0.0608,0.0223,0.0794,0.1343,0.2545,191955,true
Bono Gobierno YZA-0094,BVLIMA,2024-07,Derivados,0.0148,0.0602,0.0741,0.0379,0.0886,0.0916,0.0453,0.0236,0.0175,0.0616,0.1224,0.3124,169127,false
Acción Preferente YZA-0095,MILA,2024-08,Estructurado,0.0401,0.0273,0.0524,0.0476,0.0000,0.0561,0.0264,0.0226,0.0811,0.1430,0.1093,0.3441,62922,false
Warrant YZA-0096,BVC,2024-09,Dividendos,0.0267,0.0026,0.0447,0.0084,0.0240,0.1140,0.1118,0.0405,0.1309,0.1184,0.1023,0.2257,101923,true
ADR YZA-0097,COLCAP,2024-10,Intereses,0.0755,0.0092,0.0008,0.0464,0.0562,0.0581,0.0828,0.0625,0.0017,0.0556,0.0837,0.4175,135443,false
REIT YZA-0098,BVLIMA,2024-11,Capital,0.0174,0.0601,0.0260,0.0235,0.0047,0.0340,0.1123,0.0625,0.0155,0.0399,0.0939,0.4602,139550,false
Fondo Indexado YZA-0099,MILA,2024-12,Mixto,0.0517,0.0549,0.0266,0.0154,0.0989,0.0475,0.0947,0.0960,0.0248,0.1236,0.0247,0.2912,88041,true
Acción BCD-0100,BVC,2024-Q1,Renta Fija,0.0104,0.0054,0.0644,0.0132,0.0841,0.0368,0.0802,0.0297,0.1124,0.1199,0.0059,0.3876,162158,false
Bono Corporativo BCD-0101,COLCAP,2024-Q2,Renta Variable,0.0319,0.0688,0.0045,0.0672,0.0017,0.0712,0.0214,0.1067,0.1091,0.0937,0.0654,0.3084,135529,false
ETF BCD-0102,BVLIMA,2024-Q3,Derivados,0.0299,0.0384,0.0710,0.0675,0.0480,0.0786,0.0819,0.1045,0.0296,0.0651,0.1418,0.1937,121997,true
Fondo Mutuo BCD-0103,MILA,2024-Q4,Estructurado,0.0690,0.0217,0.0185,0.0915,0.0445,0.0780,0.0127,0.0893,0.1162,0.0351,0.0361,0.3374,143685,false
Bono Gobierno BCD-0104,BVC,2023-Q1,Dividendos,0.0683,0.0008,0.0004,0.0243,0.0881,0.0974,0.1112,0.0931,0.0295,0.0884,0.1202,0.2283,175875,false
Acción Preferente BCD-0105,COLCAP,2023-Q2,Intereses,0.0560,0.0450,0.0103,0.0699,0.0309,0.0713,0.0744,0.0187,0.0813,0.1306,0.0244,0.3372,58945,true
Warrant BCD-0106,BVLIMA,2023-Q3,Capital,0.0027,0.0510,0.0350,0.0433,0.0854,0.0593,0.0326,0.0960,0.1235,0.0040,0.1193,0.2979,28666,false
ADR BCD-0107,MILA,2023-Q4,Mixto,0.0365,0.0101,0.0214,0.0297,0.0175,0.0026,0.0415,0.0668,0.0648,0.1479,0.0504,0.4608,166113,false
REIT BCD-0108,BVC,2024-01,Renta Fija,0.0605,0.0291,0.0495,0.0530,0.0324,0.0044,0.0382,0.0184,0.0977,0.0026,0.0233,0.5409,159759,true
Fondo Indexado BCD-0109,COLCAP,2024-02,Renta Variable,0.0141,0.0794,0.0032,0.0244,0.0578,0.0082,0.0503,0.1287,0.0850,0.1155,0.1096,0.2738,81383,false
Acción EFG-0110,BVLIMA,2024-03,Derivados,0.0218,0.0446,0.0606,0.0166,0.0780,0.0064,0.0069,0.0327,0.0614,0.0102,0.1040,0.5068,188607,false
Bono Corporativo EFG-0111,MILA,2024-04,Estructurado,0.0232,0.0110,0.0667,0.0432,0.0577,0.0287,0.1072,0.0828,0.0634,0.0244,0.1313,0.3104,128288,true
ETF EFG-0112,BVC,2024-05,Dividendos,0.0079,0.0064,0.0306,0.0728,0.0524,0.0464,0.1070,0.1155,0.0278,0.0797,0.1005,0.3030,122840,false
Fondo Mutuo EFG-0113,COLCAP,2024-06,Intereses,0.0501,0.0349,0.0503,0.0222,0.0715,0.0244,0.0713,0.1163,0.1170,0.1293,0.0315,0.2312,184959,false
Bono Gobierno EFG-0114,BVLIMA,2024-07,Capital,0.0522,0.0316,0.0228,0.0030,0.0014,0.0646,0.1214,0.0485,0.1174,0.0390,0.1315,0.3166,135977,true
Acción Preferente EFG-0115,MILA,2024-08,Mixto,0.0713,0.0769,0.0709,0.0075,0.0153,0.0118,0.0321,0.0926,0.1291,0.0870,0.0856,0.2699,95728,false
Warrant EFG-0116,BVC,2024-09,Renta Fija,0.0530,0.0121,0.0838,0.0491,0.0558,0.0134,0.1042,0.0807,0.0005,0.0167,0.0221,0.4586,162107,false
ADR EFG-0117,COLCAP,2024-10,Renta Variable,0.0198,0.0323,0.0358,0.0499,0.0928,0.0904,0.0827,0.0646,0.0395,0.1154,0.1317,0.1951,55778,true
REIT EFG-0118,BVLIMA,2024-11,Derivados,0.0371,0.0740,0.0682,0.0680,0.0398,0.0161,0.0662,0.0767,0.0813,0.0732,0.0726,0.2768,105311,false
Fondo Indexado EFG-0119,MILA,2024-12,Estructurado,0.0577,0.0368,0.0441,0.0303,0.0533,0.0907,0.0743,0.0096,0.0503,0.0175,0.1463,0.3391,91530,false
Acción HIJ-0120,BVC,2024-Q1,Dividendos,0.0220,0.0298,0.0522,0.0254,0.1018,0.0558,0.0022,0.0038,0.1415,0.0294,0.1188,0.3673,12866,true
Bono Corporativo HIJ-0121,COLCAP,2024-Q2,Intereses,0.0009,0.0004,0.0685,0.0651,0.0225,0.0824,0.0516,0.0942,0.1127,0.1270,0.0328,0.2919,170588,false
ETF HIJ-0122,BVLIMA,2024-Q3,Capital,0.0305,0.0588,0.0275,0.0792,0.0532,0.0174,0.0666,0.0056,0.1043,0.1278,0.0335,0.3456,128830,false
Fondo Mutuo HIJ-0123,MILA,2024-Q4,Mixto,0.0669,0.0427,0.0544,0.0339,0.0760,0.0374,0.0083,0.0489,0.0322,0.0590,0.0613,0.4290,144716,true
Bono Gobierno HIJ-0124,BVC,2023-Q1,Renta Fija,0.0424,0.0670,0.0389,0.0533,0.0045,0.0455,0.0201,0.1181,0.0863,0.1206,0.0573,0.2960,45224,false
Acción Preferente HIJ-0125,COLCAP,2023-Q2,Renta Variable,0.0597,0.0460,0.0247,0.0327,0.0713,0.0571,0.0789,0.0399,0.1238,0.0242,0.0661,0.3256,192641,false
Warrant HIJ-0126,BVLIMA,2023-Q3,Derivados,0.0267,0.0469,0.0087,0.0389,0.0968,0.0255,0.0507,0.0976,0.1276,0.1317,0.0563,0.2426,148416,true
ADR HIJ-0127,MILA,2023-Q4,Estructurado,0.0337,0.0810,0.0061,0.0620,0.0290,0.0666,0.0302,0.0388,0.1180,0.1432,0.0274,0.3140,19476,false
REIT HIJ-0128,BVC,2024-01,Dividendos,0.0219,0.0168,0.0485,0.0871,0.0147,0.0771,0.0074,0.1344,0.1232,0.0577,0.0639,0.2973,163798,false
Fondo Indexado HIJ-0129,COLCAP,2024-02,Intereses,0.0155,0.0326,0.0656,0.0539,0.0332,0.1052,0.0037,0.0287,0.0343,0.0120,0.0024,0.5629,114666,true
Acción KLM-0130,BVLIMA,2024-03,Capital,0.0293,0.0485,0.0840,0.0534,0.0736,0.0671,0.0909,0.0256,0.0371,0.1449,0.1058,0.1898,165676,false
Bono Corporativo KLM-0131,MILA,2024-04,Mixto,0.0609,0.0451,0.0583,0.0531,0.0079,0.0231,0.0772,0.0717,0.0469,0.1087,0.0893,0.3078,11323,false
ETF KLM-0132,BVC,2024-05,Renta Fija,0.0161,0.0845,0.0797,0.0405,0.0774,0.0320,0.0970,0.0920,0.0347,0.0682,0.0309,0.2970,183185,true
Fondo Mutuo KLM-0133,COLCAP,2024-06,Renta Variable,0.0182,0.0275,0.0309,0.0612,0.0037,0.0217,0.1276,0.0427,0.0165,0.0006,0.0119,0.5875,47357,false
Bono Gobierno KLM-0134,BVLIMA,2024-07,Derivados,0.0160,0.0772,0.0502,0.0124,0.0383,0.0097,0.1082,0.0845,0.0393,0.1037,0.0558,0.3547,145459,false
Acción Preferente KLM-0135,MILA,2024-08,Estructurado,0.0258,0.0582,0.0504,0.0608,0.0831,0.0024,0.0090,0.0272,0.1437,0.0943,0.0836,0.3115,173374,true
Warrant KLM-0136,BVC,2024-09,Dividendos,0.0286,0.0461,0.0530,0.0392,0.0440,0.0501,0.0421,0.0187,0.0685,0.1034,0.0337,0.4226,91565,false
ADR KLM-0137,COLCAP,2024-10,Intereses,0.0234,0.0449,0.0716,0.0660,0.0680,0.0119,0.0056,0.0516,0.0939,0.0578,0.1364,0.3189,131647,false
REIT KLM-0138,BVLIMA,2024-11,Capital,0.0337,0.0479,0.0605,0.0181,0.0403,0.0155,0.1201,0.0716,0.1298,0.0345,0.0684,0.3096,89944,true
Fondo Indexado KLM-0139,MILA,2024-12,Mixto,0.0086,0.0457,0.0496,0.0618,0.0064,0.0429,0.1079,0.0353,0.1302,0.0477,0.0969,0.3170,18760,false
Acción NOP-0140,BVC,2024-Q1,Renta Fija,0.0220,0.0786,0.0403,0.0803,0.0502,0.0424,0.0220,0.0448,0.1334,0.0320,0.0862,0.3178,160239,false
Bono Corporativo NOP-0141,COLCAP,2024-Q2,Renta Variable,0.0755,0.0532,0.0570,0.0158,0.0367,0.0104,0.0809,0.0773,0.0868,0.0838,0.1218,0.2508,155552,true
ETF NOP-0142,BVLIMA,2024-Q3,Derivados,0.0036,0.0278,0.0656,0.0062,0.0810,0.0267,0.0342,0.1234,0.1362,0.0914,0.0857,0.2682,187640,false
Fondo Mutuo NOP-0143,MILA,2024-Q4,Estructurado,0.0402,0.0156,0.0074,0.0243,0.1060,0.1050,0.0762,0.0260,0.0889,0.0967,0.1059,0.2578,159086,false
Bono Gobierno NOP-0144,BVC,2023-Q1,Dividendos,0.0598,0.0610,0.0773,0.0094,0.0078,0.0724,0.0019,0.1011,0.0295,0.0408,0.0346,0.4544,48461,true
Acción Preferente NOP-0145,COLCAP,2023-Q2,Intereses,0.0382,0.0484,0.0130,0.0215,0.0833,0.0068,0.1076,0.0590,0.0572,0.0502,0.1122,0.3526,61407,false
